"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","BOW$target"
9.97099520402191e-37,2.66676016443484e-50,4.00905674856608e-38,1.81286276504761e-23,4.44875410371962e-26,3.17441795311229e-05,9.98628045582575e-19,7.78638338161722e-22,8.34700646412417e-23,7.33865632750548e-47,2.6192208310669e-05,8.9036317779879e-30,2.81142691248713e-05,2.68966834887889e-08,9.37568152077683e-31,2.9989464321768e-08,5.05237771932124e-05,4.32561787637333e-25,1.74938909075834e-34,6.02739054969921e-22,4.28119881849109e-19,9.85985742747758e-28,3.00480619019284e-29,1.57293894504337e-14,3.67287390519211e-05,4.12975302380572e-60,9.86875376038138e-06,7.74688820472929e-06,3.98120740850514e-13,1.08694786981837e-34,5.03653188011767e-21,2.24422993429211e-10,7.6557017173491e-16,8.74321996675181e-09,9.97916383740906e-21,8.66768830910599e-37,9.2094830585418e-06,1.2282448309348e-29,3.21610422953749e-37,9.26619494517593e-24,5.28455621423595e-28,1.31708138453708e-54,1.01549138908532e-07,1.19515882278935e-05,9.60071827625909e-05,3.39752708457314e-05,2.8130221902361e-47,2.53215620756094e-50,2.05510396370272e-14,2.97940660872968e-05,"category1"
2.36611463521608e-36,1.36027018182175e-60,1.03004133309709e-08,1.81200103295167e-05,7.21340994569108e-14,9.74959085849199e-34,1.39484542480734e-34,7.80975211889608e-20,2.02581866863645e-38,2.48968419221724e-63,4.46209002155881e-06,1.55972022183693e-11,1.22816698570651e-05,2.48565608960144e-05,3.15215807880884e-52,2.60799207575602e-21,3.89410904245222e-05,4.98276549844086e-17,4.86741285272171e-48,2.16442299271794e-40,3.37334944780067e-19,9.98850763072885e-20,3.72830664112909e-05,3.87251616267969e-29,2.89150546204993e-22,1.86144872521787e-05,1.45731666800137e-31,9.19588289107709e-05,1.5219963141147e-09,7.10199395529437e-10,4.88006705397521e-45,6.2999538881621e-05,1.99479889091254e-49,2.2053534682577e-20,4.81109422797829e-15,9.09445195237548e-43,1.37038449994572e-27,2.11289719577681e-49,1.82469550599474e-06,2.29528581511751e-34,3.12689037046583e-41,2.28900924999928e-84,5.6412910833655e-19,2.99800686260005e-05,2.95701237338009e-05,1.75872035505081e-14,3.31267107295626e-67,7.01591183151732e-44,1.11903037257274e-06,7.59535814160987e-17,"category1"
4.38082934525129e-32,9.34585285879221e-22,5.14332202712416e-16,6.42071000446163e-11,2.31938263928051e-07,1.2679669832505e-13,1.4600612586775e-19,7.42889752045051e-13,9.81138348882427e-12,3.73001813305347e-07,3.08884658995506e-19,2.6122303933876e-05,7.95311204172008e-21,4.76486812533935e-26,2.45118575361418e-09,1.2369058084307e-13,3.63763713410175e-11,8.25192219453795e-05,1.32337358655711e-05,1.95343731351657e-05,1.41260820730754e-05,2.16367041092587e-26,5.59706361195518e-14,1.29558737245715e-05,4.32732918628268e-05,1.83237948493637e-19,3.1045911452344e-09,1.13296937997716e-15,2.5504116444771e-12,1.22319028061843e-17,6.48631819851284e-14,2.12432194442358e-08,9.43621794022068e-11,7.75266746489196e-10,2.64678335775536e-19,4.70696907804751e-06,3.53335462638733e-18,1.81632168219587e-05,1.63376326954544e-06,1.86565731305306e-05,7.73698613485996e-30,1.1482485086592e-14,7.16016788357706e-08,4.74614160229553e-07,0.000114426849142507,1.49073734742119e-06,1.74024747296668e-15,3.47576906190082e-38,2.59390997469114e-27,1.87957740199205e-09,"category1"
1.55999918050629e-48,3.19009156978584e-31,1.71838151381604e-32,1.3614279770692e-35,1.98097154443578e-50,1.20165248465697e-08,4.70968577796385e-17,5.56141019167597e-05,5.16524579310804e-39,4.71545198636587e-38,2.51677986521193e-27,6.81973238311947e-45,7.05300876142758e-16,8.49207214353926e-17,1.1638452463978e-93,1.64374605419495e-13,4.06261367853859e-46,2.59150615590945e-56,1.43989623203102e-31,2.61259999118852e-20,1.54032758839645e-21,6.56938648787323e-27,3.39990845281153e-60,2.69130946426097e-05,0.000153002837952392,2.03232072954542e-64,9.98092236895734e-11,2.35129447462527e-27,1.10612982720324e-21,2.83194224903087e-40,2.60965321994717e-20,1.3917562328376e-46,3.08068423103737e-36,3.74772999371914e-35,1.59814660557145e-33,2.70996406524552e-15,4.2508368132465e-50,5.37966544362629e-49,3.60488711899168e-16,1.85242593637366e-05,1.53226075273031e-17,2.5662311418419e-31,0.000117957399145942,3.63408439255409e-44,4.76089737664827e-30,2.07052175322078e-23,9.56138020163769e-51,2.31719454596549e-58,9.37822139317745e-38,2.20109645691318e-23,"category1"
4.82357012661784e-17,2.89327231060321e-25,7.53863940773382e-14,2.00269052973027e-36,4.86866718055172e-21,4.29020521367573e-28,2.71839479981056e-81,1.14394706523864e-18,2.17678020292748e-14,4.47431771647355e-30,1.4722981696861e-49,2.5947646858191e-31,1.96652697405722e-35,1.88117151799688e-17,3.65279779579086e-38,2.36338889367744e-37,1.86244588266725e-22,7.02485135398223e-17,3.65033509718732e-30,1.31660186998292e-55,1.04578957973918e-38,3.30557205676505e-05,1.30843937244173e-16,2.44773832063321e-23,5.01230541634892e-35,0.000152570202531915,1.85995253420265e-05,5.32670679973525e-98,5.76345585712086e-49,4.96419608285897e-05,7.24880493512968e-28,1.56639267094568e-46,2.80241948098288e-23,1.34014157314296e-19,1.09348445332458e-59,2.11499149091085e-29,6.29079190994138e-25,1.22628967223634e-80,4.2964322511418e-23,6.15816066751627e-38,0.000109123491391284,2.22857632478431e-33,2.93207876694411e-91,1.17939866684922e-22,2.31920849326173e-100,3.6933780302687e-28,9.03290876492156e-06,2.77140423102162e-23,1.18950784512789e-50,3.42881574823302e-111,"category1"
1.85517151726419e-05,6.77813539475459e-19,1.76655825442928e-08,6.33194491707564e-17,6.30417924213574e-48,3.02810544643964e-32,1.4300087224882e-24,1.98713912137807e-18,1.40282512485357e-07,5.72403593227627e-08,7.7645049381136e-28,1.58503439628595e-05,3.91645450028113e-66,1.46244958462259e-45,6.64893304823702e-36,1.49612969680993e-56,7.340969424045e-30,5.49502396397887e-06,1.3769760385867e-24,9.63013149513181e-36,6.07050037043558e-31,1.07426255091311e-15,2.87686973770558e-17,6.56541440159612e-22,4.48573068243821e-47,0.000108803171796536,8.53842867717671e-28,3.80419031807994e-100,1.58062489841623e-60,8.3905945923255e-05,2.48379926911974e-10,2.06037232412993e-05,8.97404095351434e-17,1.50646139446402e-62,3.34977747194116e-10,5.4981965515404e-11,1.02194645239794e-07,2.58952065800589e-18,3.40168677079353e-16,9.26418946311953e-31,1.05155424663489e-05,1.7424144473827e-05,1.77932668012986e-45,1.88450492591889e-05,7.59118547532443e-30,1.00114898401508e-13,1.33992540861041e-05,5.83118736368229e-05,4.18469874949413e-41,9.27527643784995e-54,"category1"
1.93228957744719e-05,2.40933659045636e-08,2.12957743336571e-05,2.1699624056778e-10,7.78431347895592e-08,7.54582282926494e-12,3.38551032333485e-09,7.53814468889769e-05,3.64127788497344e-05,4.00903972288622e-49,3.39223150330395e-05,1.04615130888673e-06,4.15421348730831e-16,1.13717205659008e-20,1.76453260431633e-32,3.37239087163986e-12,2.75090867367723e-14,2.96740908983477e-11,2.7678544439566e-45,7.56301150372455e-05,1.38143440637151e-22,1.86302367067819e-16,2.86453234740484e-08,2.6341294689339e-20,4.93687119862813e-12,5.91423016269721e-15,1.92941233405251e-05,1.23288627840818e-30,1.79873027852779e-17,7.7340692695248e-25,8.68235536523198e-08,6.88629757031971e-26,1.86841763710553e-22,2.75926208434635e-12,1.00327512463391e-33,6.69712778490197e-22,1.03914367766717e-19,1.68835630402544e-13,2.73461490749289e-05,6.69665743939736e-30,1.02733263117058e-17,2.84236688260294e-24,1.86081090655662e-05,5.27054262411684e-17,3.51311994561005e-11,1.56610854326412e-05,2.7881772931861e-05,1.33147846779345e-24,9.4531097066304e-13,3.93604666792097e-45,"category1"
4.06742982958807e-05,1.16458079808448e-19,5.57821813691357e-13,6.03436076900421e-49,8.81539639978463e-07,1.990756509332e-36,4.43396117906998e-24,2.41007428683556e-05,2.58163074645825e-06,2.20245424468828e-14,1.01560529364385e-15,9.57455146979477e-12,1.95452925898491e-05,1.35010177916225e-05,1.92392791313678e-67,3.72035092778709e-05,4.22774423364711e-05,4.72970436460606e-43,2.18110653880967e-26,2.0561872633758e-05,5.3906567863318e-27,3.58298471039241e-05,1.20076029485473e-20,7.10059584916744e-19,1.41514884208306e-17,3.05367732340761e-53,1.58947632381383e-08,1.42470814385094e-28,3.61399145196565e-05,3.32845957003332e-12,1.64119822240775e-13,1.99455776471498e-05,1.91571446997177e-05,2.70967695359651e-05,7.81107303599817e-20,3.07375914306594e-28,4.64566364633355e-43,7.28344812011107e-62,9.18580550404906e-40,1.8587323096063e-05,1.27152112146451e-05,5.11416812399431e-26,5.37473153131443e-31,3.62106988524724e-08,6.14143596316767e-32,8.93474599165875e-30,3.87032273819958e-50,7.8145021571615e-13,1.17255563489455e-06,1.37416866704324e-42,"category1"
3.71628550275796e-25,2.04370368757874e-43,7.75554288744077e-05,1.42813687640459e-17,4.60303193548781e-65,2.95180720115947e-05,1.13386892750276e-38,9.07076536961756e-23,3.1520466241873e-39,5.36810648980832e-55,6.94952329532026e-05,3.31059432069052e-23,3.00321046041719e-63,1.59265136699847e-18,5.10352772307957e-27,4.55486720071157e-61,1.27613733683402e-17,3.42671662841239e-05,2.55866021395113e-50,3.25606045179067e-28,1.41297087039273e-77,6.59017700988756e-10,8.76171767230632e-14,7.02351030328734e-43,7.23874662348973e-77,3.30680081622301e-05,3.11188005822831e-14,3.08495885746613e-55,4.36125653683761e-68,0.00011255973632315,3.59823972595765e-15,2.45548294458319e-35,1.94634250200081e-55,1.65691793331144e-84,2.74879337483691e-52,5.85736674833559e-42,7.68415727517013e-06,5.04971453147684e-42,1.47942224165537e-08,7.62622546958414e-25,8.89990751217505e-21,5.02678021923722e-38,5.33467542984983e-34,7.86055251332249e-06,5.98901759587354e-36,1.56671541330443e-14,4.32346787001886e-16,1.74802772786384e-12,6.30680569763156e-23,8.18274568572625e-54,"category1"
5.65244476162369e-25,4.52402692848506e-61,0.000221067446589444,4.17041260114166e-07,5.933323922269e-53,8.46837423732121e-10,2.81004066810502e-06,2.5464222116723e-12,3.69582489334958e-17,3.90481223885828e-65,6.41389932048283e-06,7.70250189563207e-40,4.66521247340646e-40,1.04828021388482e-52,1.98318619626586e-44,1.93291084740109e-28,2.40737850764723e-05,7.73131547035433e-11,5.82349744566088e-33,5.6166575558366e-09,6.3535138705182e-49,2.65719518534164e-19,2.595239289009e-24,6.62397837531145e-21,5.74208300241935e-11,3.96924396405795e-24,5.34352436311338e-23,3.14839164373211e-10,1.66162614616295e-34,2.77631076572639e-11,7.50192344255288e-08,4.63060635015585e-24,7.57479687318859e-19,9.55715706721869e-31,8.81439734354353e-64,3.3871960275824e-35,1.87289677047446e-05,4.27856331300443e-38,2.01814829575563e-09,2.6640772143633e-45,3.77952671300831e-25,5.35260903866625e-63,2.65725721860245e-31,8.13138142575939e-09,1.38193885466537e-25,9.80343379863476e-05,2.27196324025474e-49,1.98951612207014e-37,3.86178776250635e-07,3.38180654469712e-18,"category1"
